title	author	year	length
Criminal Man, According to the Classification of Cesare Lombroso	Gina Lombroso	1880
Criminal Sociology	Enrico Ferri	1895
Community Civics and Rural Life	Arthur William Dunn	1920
Sociology and Modern Social Problems	Charles Abram Ellwood	1910
The Theory of the Leisure Class	Thorstein Veblen	1899
An Historical View of the Philippine Islands, Vol 1 (of 2): Exhibiting their discovery, population, language, government, manners, customs, productions and commerce.	Joaquin Martinez De Zugniga	1814
An Historical View of the Philippine Islands, Vol 2 (of 2): Exhibiting their discovery, population, language, government, manners, customs, productions and commerce.	Joaquin Martinez De Zugniga	1814
History of the Buccaneers of America	James Burney	1816
The Natural History of Cage Birds: Their Management, Habits, Food, Diseases, Treatment, Breeding, and the Methods of Catching Them.	Johann Matthäus Bechstein	1838
A System of Pyrotechny: Comprehending the theory and practice, with the application of chemistry; designed for exhibition and for war.	James Cutbush	1825
The History of the Inquisition of Spain from the Time of its Establishment to the Reign of Ferdinand VII.	Juan Antonio Llorente	1825
History, Manners, and Customs of the Indian Nations Who Once Inhabited Pennsylvania and the Neighbouring States.	John Gottlieb Ernestus Heckewelder	1818
On The Principles of Political Economy, and Taxation	David Ricardo	1819
Pedestrianism; or, An Account of the Performances of Celebrated Pedestrians During the Last and Present Century.: With a full narrative of Captain Barclay's public and private matches; and an essay on training.	Walter Thom	1813
The Grounds of Christianity Examined by Comparing The New Testament with the Old	George Bethune English	1813
An Account of The Kingdom of Nepal: And of the Territories Annexed to this Dominion by the House of Gorkha	Francis Hamilton	1819
The Logic of Hegel	Georg Wilhelm Friedrich Hegel	1812
Hegel's Philosophy of Mind	Georg Wilhelm Friedrich Hegel	1817
A Historical Survey of the Customs, Habits, \& Present State of the Gypsies	John Hoyland	1816
Not Paul, But Jesus	Jeremy Bentham	1823
Aids to Reflection; and, The Confessions of an Inquiring Spirit	Samuel Taylor Coleridge	1825
The Dance of Death: Exhibited in Elegant Engravings on Wood with a Dissertation on the Several Representations of that Subject but More Particularly on Those Ascribed to Macaber and Hans Holbein	Francis Douce	1833
Definitions in Political Economy,: Preceded by an Inquiry Into the Rules which Ought to Guide Political Economists in the Definition and Use of Their Terms; with Remarks on the Deviation from These Rules in Their Writings	Thomas Robert Malthus	1853
Cottage Economy, to Which is Added The Poor Man's Friend	William Cobbett	1833
Indian Nullification of the Unconstitutional Laws of Massachusetts Relative to the Marshpee Tribe: Or, the Pretended Riot Explained	William Apess	1835
Slavery	William Ellery Channing	1835
Thoughts on Missions	Sheldon Dibble	1850
A Portraiture of Quakerism, Volume 2: Taken from a View of the Education and Discipline, Social Manners, Civil and Political Economy, Religious Principles and Character, of the Society of Friends	Thomas Clarkson	1841
The Field Book: or, Sports and pastimes of the United Kingdom: compiled from the best authorities, ancient and modern	William Hamilton Maxwell	1833
Cosmos: A Sketch of a Physical Description of the Universe	Frédéric Bastiat	1853
Elements of Physiophilosophy	Lorenz Oken	1847
A Synopsis of the Birds of North America	Alexander von Humboldt	1845
The Practical Astronomer: Comprising illustrations of light and colours--practical descriptions of all kinds of telescopes--the use of the equatorial-transit--circular, and other astronomical instruments, a particular account of the Earl of Rosse's large telescopes, and other topics connected with astronomy	Thomas Dick	1850
The Gastronomic Regenerator: A Simplified and Entirely New System of Cookery: With Nearly Two Thousand Practical Receipts Suited to the Income of All Classes	Alexis Soyer	1846
The Pantropheon; Or, History of Food, Its Preparation, from the Earliest Ages of the World	Alexis Soyer	1850
Miss Leslie's New Cookery Book	Eliza Leslie	1867
Conversations on Chemistry, V. 1-2: In Which the Elements of that Science Are Familiarly Explained and Illustrated by Experiments	Jane Haldimand Marcet	1847
Conversations on Natural Philosophy, in which the Elements of that Science are Familiarly Explained	Jane Haldimand Marcet	1836
Botany for Ladies: or, A Popular Introduction to the Natural System of Plants, According to the Classification of De Candolle.	Jane Loudon	1815
American Institutions and Their Influence	Alexis de Tocqueville	1851
The Steam Engine Explained and Illustrated (Seventh Edition): With an Account of Its Invention and Progressive Improvement, and Its Application to Navigation and Railways; Including Also a Memoir of Watt	Dionysius Lardner	1840
History of the State of California: From the Period of the Conquest by Spain to Her Occupation by the United States of America	John Frost	1851
History of the Conquest of Mexico; vol. 3/4	William Hickling Prescott	1857
Norman's New Orleans and Environs: Containing a Brief Historical Sketch of the Territory and State of Louisiana and the City of New Orleans, from the Earliest Period to the Present Time	Benjamin Moore Norman	1842
The Philosophy of Health; Volume 1 (of 2): or, an exposition of the physical and mental constitution of man	Southwood Smith	1847
History of Brighthelmston; or, Brighton as I View it and Others Knew It: With a Chronological Table of Local Events	John Ackerson Erredge	1851
Summary Narrative of an Exploratory Expedition to the Sources of the Mississippi River, in 1820: Resumed and Completed, by the Discovery of its Origin in Itasca Lake, in 1832	Henry Rowe Schoolcraft	1836
The Infant System: For Developing the Intellectual and Moral Powers of all Children, from One to Seven years of Age	Samuel Wilderspin	1850
Bulfinch's Mythology: The Age of Fable; The Age of Chivalry; Legends of Charlemagne	Thomas Bulfinch	1862
Dealings with the Dead, Volume 2 (of 2)	Lucius Manlius Sargent	1846
Science for the School and Family, Part I. Natural Philosophy	Worthington Hooker	1853
On the various forces of nature and their relations to each other	Michael Faraday	1847
British Bees: An Introduction into the Studies of the Natural History and Economy of the Bees Indigenous to the British Isles	William Edward Shuckard	1859
Gunnery in 1858: Being a Treatise on Rifles, Cannon, and Sporting Arms: Explaining the Principles of the Science of Gunnery, and Describing the Newest Improvements in Fire-Arms	William Greener	1846
The Sabbath-School Index: Pointing out the history and progress of Sunday-schools, with approved modes of instruction.	Richard Gay Pardee	1842
The Opium Habit	Horace B. Day	1860
History of Greece, Volume 12 (of 12)	George Grote	1844
History of Greece, Volume 03 (of 12)	George Grote	1852
History of Greece, Volume 05 (of 12)	George Grote	1852
History of Greece, Volume 04 (of 12)	George Grote	1838
Reflections on the Decline of Science in England, and on Some of Its Causes	Charles Babbage	1857
On the Connexion of the Physical Sciences	Mary Somerville	1880
Knowledge Is Power:: A View of the Productive Forces of Modern Society and the Results of Labor, Capital and Skill.	Charles Knight	1825
Athens: Its Rise and Fall, Book II	Edward George Bulwer-Lytton	1870
A Popular History of England, From the Earliest Times to the Reign of Queen Victoria; Vol. I	François Guizot	1837
Elements of Agricultural Chemistry	Thomas Anderson	1852
Practical Guide to English Versification: With a Compendious Dictionary of Rhymes, an Examination; of Classical Measures, and Comments Upon Burlesque and; Comic Verse, Vers de Société, and Song-writing	Tom Hood	1838
A Manual of Elementary Geology: or, The Ancient Changes of the Earth and its Inhabitants as Illustrated by Geological Monuments	Sir Charles Lyell	1844
Health and Education	Charles Kingsley	1837
Stones of the Temple; Or, Lessons from the Fabric and Furniture of the Church	Walter Field	1847
History of the United Netherlands from the Death of William the Silent to the Twelve Year's Truce — Complete (1600-1609)	John Lothrop Motley	1849
A Dictionary of English Synonymes and Synonymous or Parallel Expressions: Designed as a Practical Guide to Aptness and Variety of Phraseology	Richard Soule	1838
The Rise of the Dutch Republic — Complete (1566-74)	John Lothrop Motley	1871
A History of Domestic Manners and Sentiments in England During the Middle Ages	Thomas Wright	1859
The History, Theory, and Practice of Illuminating: Condensed from 'The Art of Illuminating' by the same illustrator and author	Matthew Digby Wyatt	1860
An Architect's Note-Book in Spain: principally illustrating the domestic architecture of that country.	Matthew Digby Wyatt	1858
History of Lace	Fanny Bury Palliser	1862
The Physical Basis of Mind: Being the Second Series of Problems of Life and Mind.	George Henry Lewes	1853
Lectures on the rise and development of medieval architecture; vol. 2	George Gilbert Scott	1872
The History of Ancient America, Anterior to the Time of Columbus: Proving the Identity of the Aborigines with the Tyrians and Israelites; and the Introduction of Christianity into the Western Hemisphere By The Apostle St. Thomas	George Jones	1838
The Subterranean World	Georg Hartwig	1871
Guano: A Treatise of Practical Information for Farmers	Solon Robinson	1852
Wild Wales: The People, Language, \& Scenery	George Borrow	1862
History of Indian and Eastern Architecture	James Fergusson	1876
Parasites: A Treatise on the Entozoa of Man and Animals: Including Some Account of the Ectozoa	Thomas Spencer Cobbold	1879
History of American Socialisms	John Humphrey Noyes	1869
London Labour and the London Poor, Vol. 2	Henry Mayhew	1851
Companion to the Bible	Elijah Porter Barrows	1867
The Non-religion of the Future: A Sociological Study	Jean-Marie Guyau	1887
Ten Great Religions: An Essay in Comparative Theology	James Freeman Clarke	1871
A History of Oregon, 1792-1849: Drawn From Personal Observation and Authentic Information	William Henry Gray	1870
Bible Animals;: Being a Description of Every Living Creature Mentioned in the Scripture, from the Ape to the Coral.	John George Wood	1869
