title	author	year	category
Travels and Adventures of Monsieur Violet	Frederick Marryat	1843	Non-Canonical 
The Privateer's-Man, One hundred Years Ago	Frederick Marryat	1846	Non-Canonical 
The Little Savage	Frederick Marryat	1848	Non-Canonical 
Snarleyyow, or, the Dog Fiend	Frederick Marryat	1837	Non-Canonical 
Newton Forster; Or, The Merchant Service	Frederick Marryat	1832	Non-Canonical 
Mr. Midshipman Easy	Frederick Marryat	1836	Non-Canonical 
Arrah Neil; or, Times of Old	George Payne Rainsford James	1843	Non-Canonical 
The Castle of Ehrenstein: Its Lords Spiritual and Temporal; Its Inhabitants Earthly and Unearthly	George Payne Rainsford James	1847	Non-Canonical 
Forest Days: A Romance of Old Times	George Payne Rainsford James	1843	Non-Canonical 
A Voyage to the Moon: With Some Account of the Manners and Customs, Science and Philosophy, of the People of Morosofia, and Other Lunarians	George Tucker	1827	Non-Canonical 
Market Harborough, and Inside the Bar	George John Whyte-Melville	1858	Non-Canonical 
The Gladiators. A Tale of Rome and Judæa	George John Whyte-Melville	1863	Non-Canonical 
The Mother's Recompense, Volume 2: A Sequel to Home Influence	Grace Aguilar	1874	Non-Canonical 
The Mother's Recompense, Volume 1: A Sequel to Home Influence	Grace Aguilar	1874	Non-Canonical 
The Vale of Cedars; Or, The Martyr	Grace Aguilar	1850	Non-Canonical 
Jasper Lyle	Mary Augusta Ward	1851	Non-Canonical 
The Eskdale Herd-boy: A Scottish Tale for the Instruction and Amusement of Young People	Martha Blackford	1819	Non-Canonical 
Mary Erskine	Jacob Abbott	1850	Non-Canonical 
Bruno; or, lessons of fidelity, patience, and self-denial taught by a dog	Jacob Abbott	1854	Non-Canonical 
Rollo in Rome	Jacob Abbott	1858	Non-Canonical 
Rollo in London	Jacob Abbott	1850	Non-Canonical 
Among the Brigands	James De Mille	1871	Non-Canonical 
The Lily and the Cross: A Tale of Acadia	James De Mille	1875	Non-Canonical 
Fire in the Woods: Illustrated	James De Mille	1872	Non-Canonical 
Cord and Creese	James De Mille	1869	Non-Canonical 
The Three Perils of Man; or, War, Women, and Witchcraft, Vol. 3 (of 3)	James Hogg	1822	Non-Canonical 
The Three Perils of Man; or, War, Women, and Witchcraft, Vol. 2 (of 3)	James Hogg	1822	Non-Canonical 
The Provost	John Galt	1822	Non-Canonical 
Ringan Gilhaize, or, The Covenanters	John Galt	1823	Non-Canonical 
Valerius. A Roman Story	John Gibson Lockhart	1821	Non-Canonical 
The Manoeuvring Mother (vol. 3 of 3)	Lady Charlotte Susan Maria Bury	1842	Non-Canonical 
The Manoeuvring Mother (vol. 2 of 3)	Lady Charlotte Susan Maria Bury	1842	Non-Canonical 
The Manoeuvring Mother (vol. 1 of 3)	Lady Charlotte Susan Maria Bury	1842	Non-Canonical 
The Annals of the Poor	Legh Richmond	1814	Non-Canonical 
Aunt Kitty's Tales	Maria Jane McIntosh	1847	Non-Canonical 
Camperdown; or, News from our neighbourhood	Mary Griffith	1836	Non-Canonical 
The Actress' Daughter: A Novel	May Agnes Fleming	1879	Non-Canonical 
Emilie the Peacemaker	Mrs. Thomas Geldart	1851	Non-Canonical 
The Old Church Clock	Richard Parkinson	1843	Non-Canonical 
Sheppard Lee, Written by Himself. Vol. 1 (of 2)	Robert Montgomery Bird	1836	Non-Canonical 
The Young Trail Hunters: Or, the Wild Riders of the Plains. The Veritable Adventures of Hal Hyde and Ned Brown, on Their Journey Across the Great Plains of the South-West	Samuel Woodworth Cozzens	1876	Non-Canonical 
Watch—Work—Wait: Or, The Orphan's Victory	Sarah Ann Myers	1859	Non-Canonical 
Pine Needles	Susan Bogert Warner	1877	Non-Canonical 
Confession; Or, The Blind Heart. A Domestic Story	William Gilmore Simms	1841	Non-Canonical 
Antony Waymouth; Or, The Gentlemen Adventurers	William Henry Giles Kingston	1865	Non-Canonical 
Clara Maynard; Or, The True and the False: A Tale of the Times	William Henry Giles Kingston	1877	Non-Canonical 
The Story of Nelson: also "The Grateful Indian", "The Boatswain's Son"	William Henry Giles Kingston	1860	Non-Canonical 
Off to Sea: The Adventures of Jovial Jack Junker on his Road to Fame	William Henry Giles Kingston	1870	Non-Canonical 
Fred Markham in Russia; Or, The Boy Travellers in the Land of the Czar	William Henry Giles Kingston	1858	Non-Canonical 
In New Granada; Or, Heroes and Patriots	William Henry Giles Kingston	1879	Non-Canonical 
Roger Kyffin's Ward	William Henry Giles Kingston	1874	Non-Canonical 
Caxton's Book: A Collection of Essays, Poems, Tales, and Sketches.	William Henry Rhodes	1876	Non-Canonical 
Blue-Stocking Hall, (Vol. 2 of 3)	William Pitt Scargill	1827	Non-Canonical 
Blue-Stocking Hall, (Vol. 3 of 3)	William Pitt Scargill	1827	Non-Canonical 
Aurelian; or, Rome in the Third Century	William Ware	1838	Non-Canonical 
Scottish Cathedrals and Abbeys	Dugald Butler	1901	Non-Fictional 
A Text-Book of the History of Architecture: Seventh Edition, revised	Alfred Dwight Foster Hamlin	1896	Non-Fictional 
Japanese Homes and Their Surroundings	Edward Sylvester Morse	1885	Non-Fictional 
The Architecture of Provence and the Riviera	David MacGibbon	1888	Non-Fictional 
Historic Ornament, Vol. 2 (of 2): Treatise on decorative art and architectural ornament	James Ward	1897	Non-Fictional 
How to Study Architecture	Charles Henry Caffin	1917	Non-Fictional 
A Dictionary of Slang, Cant, and Vulgar Words: Used at the Present Day in the Streets of London; the Universities of Oxford and Cambridge; the Houses of Parliament; the Dens of St. Giles; and the Palaces of St. James.	John Camden Hotten	1860	Non-Fictional 
THE ENCYCLOPAEDIA BRITANNICA-Vol 1	University of Cambridge	1910	Non-Fictional 
THE ENCYCLOPAEDIA BRITANNICA-Vol 2	University of Cambridge	1910	Non-Fictional 
Through the Brazilian Wilderness	Theodore Roosevelt	1914	Non-Fictional 
Gold, Sport, and Coffee Planting in Mysore: With chapters on coffee planting in Coorg, the Mysore representative assembly, the Indian congress, caste and the Indian silver question, being the 38 years' experiences of a Mysore planter	Robert Henry Elliot	1898	Non-Fictional 
The Economic Aspect of Geology	Charles Kenneth Leith	1921	Non-Fictional 
The Shores of the Adriatic: The Austrian Side, The K{\"u}stenlande, Istria, and Dalmatia	Frederick Hamilton Jackson	1906	Non-Fictional 
Island Life; Or, The Phenomena and Causes of Insular Faunas and Floras	Alfred Russel Wallace	1880	Non-Fictional 
Sea and Sardinia	David Herbert Lawrence	1921	Non-Fictional 
Sketches from the Subject and Neighbour Lands of Venice	Edward Augustus Freeman	1881	Non-Fictional 
The Principles of Stratigraphical Geology	John Edward Marr	1898	Non-Fictional 
Babylonian and Assyrian Laws, Contracts and Letters	Claude Hermann Walter Johns	1904	Non-Fictional 
Putnam's Handy Law Book for the Layman	Albert Sidney Bolles	1921	Non-Fictional 
Marriage and Divorce Laws of the World	Hyacinthe Ringrose	1911	Non-Fictional 
The Law and the Poor	Sir Edward Abbott Parry	1914	Non-Fictional 
International Law	George Grafton Wilson, George Fox Tucker	1901	Non-Fictional 
The Criminal Prosecution and Capital Punishment of Animals	Edward Payson Evans	1906	Non-Fictional 
The English Constitution	Walter Bagehot	1867	Non-Fictional 
The Law of the Sea: A manual of the principles of admiralty law for students, mariners, and ship operators	George L. Canfield, George W. Dalzell, J. Y. Brinton	1921	Non-Fictional 
Woman and the Republic: A Survey of the Woman-Suffrage Movement in the United States and a Discussion of the Claims and Arguments of Its Foremost Advocates	Helen Kendrick Johnson	1897	Non-Fictional 
The American Judiciary	Simeon Eben Baldwin	1905	Non-Fictional 
A Practical Physiology: A Text-Book for Higher Schools	Albert Franklin Blaisdell	1897	Non-Fictional 
Amusements in Mathematics	Henry Ernest Dudeney	1917	Non-Fictional 
On the Genesis of Species	St. George Jackson Mivart	1871	Non-Fictional 
Great Astronomers	Robert Stawell Ball	1895	Non-Fictional 
Evolution, Old \& New: Or, the Theories of Buffon, Dr. Erasmus Darwin and Lamarck; as compared with that of Charles Darwin	Samuel Butler	1879	Non-Fictional 
Darwin, and After Darwin, Volumes 1 and 3: An Exposition of the Darwinian Theory and a Discussion of Post-Darwinian Questions	George John Romanes	1892	Non-Fictional 
Creative Evolution	Henri Bergson	1907	Non-Fictional 
Myths and Marvels of Astronomy	Richard Anthony Proctor	1877	Non-Fictional 
A Popular History of Astronomy During the Nineteenth Century: Fourth Edition	Agnes Mary AClerke	1887	Non-Fictional 
A Text-Book of Astronomy	George Cary Comstock	1901	Non-Fictional 
Astronomical Myths: Based on Flammarions's \'History of the Heavens\'	 Camille Flammarion, John Frederick Blake	1877	Non-Fictional 
Darwin, and After Darwin, Volume 2 of 3: Post-Darwinian Questions: Heredity and Utility	George John Romanes	1892	Non-Fictional 
A Civic Biology, Presented in Problems	George William Hunter	1914	Non-Fictional 
Physics	Willis E. Tower, Charles M. Turton, Charles H. Smith, Thomas D. Cope	1920	Non-Fictional 
A Century of Science, and Other Essays	John Fiske	1899	Non-Fictional 
Side-Lights on Astronomy and Kindred Fields of Popular Science	Simon Newcomb	1906	Non-Fictional 
Elementary Zoology, Second Edition	Vernon Lyman Kellogg	1901	Non-Fictional 
Experiments on Animals	Stephen Paget	1888	Non-Fictional 
The Sea-beach at Ebb-tide: A Guide to the Study of the Seaweeds and the Lower Animal Life Found Between Tide-marks	Augusta Foote Arnold	1901	Non-Fictional 
The Science and Philosophy of the Organism	Hans Driesch	1908	Non-Fictional 
The Organism as a Whole, from a Physicochemical Viewpoint	Jacques Loeb	1916	Non-Fictional 
A Guide to the Study of Fishes, Volume 1 (of 2)	David Starr Jordan	1905	Non-Fictional 
Evolution: Its nature, its evidence, and its relation to religious thought	Joseph LeConte	1888	Non-Fictional 
The Races of Man: An Outline of Anthropology and Ethnography	Joseph Deniker	1900	Non-Fictional 
Observations of a Naturalist in the Pacific Between 1896 and 1899, Volume 1: Vanua Levu, Fiji	Henry Brougham Guppy	1903	Non-Fictional 
Animal Life and Intelligence	Conwy Lloyd Morgan	1890	Non-Fictional 
Stargazing: Past and Present	Sir Joseph Norman Lockyer	1878	Non-Fictional 
Observations of a Naturalist in the Pacific Between 1896 and 1899, Volume 2: Plant-Dispersal	Henry Brougham Guppy	1903	Non-Fictional 
The Logic of Chance, 3rd edition: An Essay on the Foundations and Province of the Theory of Probability, With Especial Reference to Its Logical Bearings and Its Application to Moral and Social Science and to Statistics	John Venn	1888	Non-Fictional 
Biology and Its Makers: With Portraits and Other Illustrations	William Albert Locy	1908	Non-Fictional 
The Crayfish: An Introduction to the Study of Zoology.	Thomas Henry Huxley	1880	Non-Fictional 
History of Botany (1530-1860)	Julius Sachs	1875	Non-Fictional 
The Universal Kinship	John Howard Moore	1906	Non-Fictional 
The philosophy of biology	James Johnstone	1914	Non-Fictional 
Hygienic Physiology : with Special Reference to the Use of Alcoholic Drinks and Narcotics	Joel Dorman Steele	1884	Non-Fictional 
Species and Varieties, Their Origin by Mutation	Hugo de Vries	1905	Non-Fictional 
The Naturalist in La Plata	William Henry Hudson	1892	Non-Fictional 
Studies in the Psychology of Sex, Volume 1: The Evolution of Modesty; The Phenomena of Sexual Periodicity; Auto-Erotism	Havelock Ellis	1900	Non-Fictional 
Studies in the Psychology of Sex, Volume 2: Sexual Inversion	Havelock Ellis	1900	Non-Fictional 
The Mind of the Child, Part II: The Development of the Intellect, International Education; Series Edited By William T. Harris, Volume IX.	William T. Preyer	1888	Non-Fictional 
The Measurement of Intelligence: An Explanation of and a Complete Guide for the Use of the; Stanford Revision and Extension of the Binet-Simon; Intelligence Scale	Lewis Madison Terman	1916	Non-Fictional 
Human Traits and their Social Significance	Irwin Edman	1919	Non-Fictional 
Human Personality and Its Survival of Bodily Death	Frederic William Henry Myers	1903	Non-Fictional 
Mysterious Psychic Forces: An Account of the Author's Investigations in Psychical Research, Together with Those of Other European Savants	Camille Flammarion	1907	Non-Fictional 
The Group Mind: A Sketch of the Principles of Collective Psychology: With Some Attempt to Apply Them to the Interpretation of National Life and Character	William McDougall	1920	Non-Fictional 
On the State of Lunacy and the Legal Provision for the Insane: With Observations on the Construction and Organization of Asylums	John Thomas Arlidge	1859	Non-Fictional 
The Criminal	Havelock Ellis	1890	Non-Fictional 
Fact and Fable in Psychology	Joseph Jastrow	1900	Non-Fictional 
A Beginner's Psychology	Edward Bradford Titchener	1915	Non-Fictional 
The Law of Psychic Phenomena: A working hypothesis for the systematic study of hypnotism, spiritism, mental therapeutics, etc.	Thomson Jay Hudson	1893	Non-Fictional 
Psychology: Briefer Course	William James	1892	Non-Fictional 
The Principles of Psychology, Volume 1 (of 2)	William James	1890	Non-Fictional 
The Principles of Psychology, Volume 2 (of 2)	William James	1890	Non-Fictional 
Browning as a Philosophical and Religious Teacher	Sir Jones, Henry	1891	Non-Fictional 
The Life of Reason: The Phases of Human Progress	George Santayana	1905	Non-Fictional 
An Introduction to Philosophy	George Stuart Fullerton	1906	Non-Fictional 
The Approach to Philosophy	Ralph Barton Perry	1905	Non-Fictional 
The Will to Believe, and Other Essays in Popular Philosophy	William James	1896	Non-Fictional 
Christianity and Greek Philosophy: or, the relation between spontaneous and reflective thought in Greece and the positive teaching of Christ and His Apostles	Benjamin Franklin Cocker	1870	Non-Fictional 
A History of Mediaeval Jewish Philosophy	Isaac Husik	1916	Non-Fictional 
The Philosophy of Friedrich Nietzsche	Henry Louis Mencken	1908	Non-Fictional 
Philosophical Studies	George Edward Moore	1883	Non-Fictional 
What Nietzsche Taught	Willard Huntington Wright	1915	Non-Fictional 
An ethical philosophy of life presented in its main outlines	Felix Adler	1918	Non-Fictional 
A Beginner's History of Philosophy, Vol. 1: Ancient and Medieval Philosophy	Herbert Ernest Cushman	1910	Non-Fictional 
Towards the Great Peace	Ralph Adams Cram	1922	Non-Fictional 
Criminal Man, According to the Classification of Cesare Lombroso	Gina Lombroso	1880	Non-Fictional 
Criminal Sociology	Enrico Ferri	1895	Non-Fictional 
Community Civics and Rural Life	Arthur William Dunn	1920	Non-Fictional 
Sociology and Modern Social Problems	Charles Abram Ellwood	1910	Non-Fictional 
The Theory of the Leisure Class	Thorstein Veblen	1899	Non-Fictional 
An Historical View of the Philippine Islands, Vol 1 (of 2): Exhibiting their discovery, population, language, government, manners, customs, productions and commerce.	Joaquin Martinez De Zugniga	1814	Non-Fictional 
An Historical View of the Philippine Islands, Vol 2 (of 2): Exhibiting their discovery, population, language, government, manners, customs, productions and commerce.	Joaquin Martinez De Zugniga	1814	Non-Fictional 
History of the Buccaneers of America	James Burney	1816	Non-Fictional 
The Natural History of Cage Birds: Their Management, Habits, Food, Diseases, Treatment, Breeding, and the Methods of Catching Them.	Johann Matthäus Bechstein	1838	Non-Fictional 
A System of Pyrotechny: Comprehending the theory and practice, with the application of chemistry; designed for exhibition and for war.	James Cutbush	1825	Non-Fictional 
The History of the Inquisition of Spain from the Time of its Establishment to the Reign of Ferdinand VII.	Juan Antonio Llorente	1825	Non-Fictional 
History, Manners, and Customs of the Indian Nations Who Once Inhabited Pennsylvania and the Neighbouring States.	John Gottlieb Ernestus Heckewelder	1818	Non-Fictional 
On The Principles of Political Economy, and Taxation	David Ricardo	1819	Non-Fictional 
Pedestrianism; or, An Account of the Performances of Celebrated Pedestrians During the Last and Present Century.: With a full narrative of Captain Barclay's public and private matches; and an essay on training.	Walter Thom	1813	Non-Fictional 
The Grounds of Christianity Examined by Comparing The New Testament with the Old	George Bethune English	1813	Non-Fictional 
An Account of The Kingdom of Nepal: And of the Territories Annexed to this Dominion by the House of Gorkha	Francis Hamilton	1819	Non-Fictional 
The Logic of Hegel	Georg Wilhelm Friedrich Hegel	1812	Non-Fictional 
Hegel's Philosophy of Mind	Georg Wilhelm Friedrich Hegel	1817	Non-Fictional 
A Historical Survey of the Customs, Habits, \& Present State of the Gypsies	John Hoyland	1816	Non-Fictional 
Not Paul, But Jesus	Jeremy Bentham	1823	Non-Fictional 
Aids to Reflection; and, The Confessions of an Inquiring Spirit	Samuel Taylor Coleridge	1825	Non-Fictional 
The Dance of Death: Exhibited in Elegant Engravings on Wood with a Dissertation on the Several Representations of that Subject but More Particularly on Those Ascribed to Macaber and Hans Holbein	Francis Douce	1833	Non-Fictional 
Definitions in Political Economy,: Preceded by an Inquiry Into the Rules which Ought to Guide Political Economists in the Definition and Use of Their Terms; with Remarks on the Deviation from These Rules in Their Writings	Thomas Robert Malthus	1853	Non-Fictional 
Cottage Economy, to Which is Added The Poor Man's Friend	William Cobbett	1833	Non-Fictional 
Indian Nullification of the Unconstitutional Laws of Massachusetts Relative to the Marshpee Tribe: Or, the Pretended Riot Explained	William Apess	1835	Non-Fictional 
Slavery	William Ellery Channing	1835	Non-Fictional 
Thoughts on Missions	Sheldon Dibble	1850	Non-Fictional 
A Portraiture of Quakerism, Volume 2: Taken from a View of the Education and Discipline, Social Manners, Civil and Political Economy, Religious Principles and Character, of the Society of Friends	Thomas Clarkson	1841	Non-Fictional 
The Field Book: or, Sports and pastimes of the United Kingdom: compiled from the best authorities, ancient and modern	William Hamilton Maxwell	1833	Non-Fictional 
Cosmos: A Sketch of a Physical Description of the Universe	Frédéric Bastiat	1853	Non-Fictional 
Elements of Physiophilosophy	Lorenz Oken	1847	Non-Fictional 
A Synopsis of the Birds of North America	Alexander von Humboldt	1845	Non-Fictional 
The Practical Astronomer: Comprising illustrations of light and colours--practical descriptions of all kinds of telescopes--the use of the equatorial-transit--circular, and other astronomical instruments, a particular account of the Earl of Rosse's large telescopes, and other topics connected with astronomy	Thomas Dick	1850	Non-Fictional 
The Gastronomic Regenerator: A Simplified and Entirely New System of Cookery: With Nearly Two Thousand Practical Receipts Suited to the Income of All Classes	Alexis Soyer	1846	Non-Fictional 
The Pantropheon; Or, History of Food, Its Preparation, from the Earliest Ages of the World	Alexis Soyer	1850	Non-Fictional 
Miss Leslie's New Cookery Book	Eliza Leslie	1867	Non-Fictional 
Conversations on Chemistry, V. 1-2: In Which the Elements of that Science Are Familiarly Explained and Illustrated by Experiments	Jane Haldimand Marcet	1847	Non-Fictional 
Conversations on Natural Philosophy, in which the Elements of that Science are Familiarly Explained	Jane Haldimand Marcet	1836	Non-Fictional 
Botany for Ladies: or, A Popular Introduction to the Natural System of Plants, According to the Classification of De Candolle.	Jane Loudon	1815	Non-Fictional 
American Institutions and Their Influence	Alexis de Tocqueville	1851	Non-Fictional 
The Steam Engine Explained and Illustrated (Seventh Edition): With an Account of Its Invention and Progressive Improvement, and Its Application to Navigation and Railways; Including Also a Memoir of Watt	Dionysius Lardner	1840	Non-Fictional 
History of the State of California: From the Period of the Conquest by Spain to Her Occupation by the United States of America	John Frost	1851	Non-Fictional 
History of the Conquest of Mexico; vol. 3/4	William Hickling Prescott	1857	Non-Fictional 
Norman's New Orleans and Environs: Containing a Brief Historical Sketch of the Territory and State of Louisiana and the City of New Orleans, from the Earliest Period to the Present Time	Benjamin Moore Norman	1842	Non-Fictional 
